trial,amplitude_mm,r2_seasonal
803,1.94,0.0849
804,0.314,0.0049
805,1.782,0.0356
806,3.162,0.1376
807,3.068,0.0653
808,0.299,0.0053
809,1.744,0.1098
810,1.033,0.0789
811,2.232,0.0982
812,0.213,0.0028
813,2.359,0.0863
814,2.165,0.119
815,0.149,0.0014
816,0.908,0.0639
817,1.93,0.0507
818,2.197,0.0949
819,0.205,0.0026
820,0.888,0.0361
821,1.92,0.0717
822,1.217,0.0936
823,1.616,0.1767
824,1.585,0.0635
825,2.261,0.1075
826,0.929,0.0622
827,0.361,0.0804
828,1.221,0.1577
829,1.541,0.0443
830,1.395,0.076
831,2.332,0.1186
832,1.774,0.0666
833,0.909,0.0304
835,1.909,0.0951
836,1.869,0.0951
837,0.641,0.0955
839,1.928,0.1073
841,1.084,0.1551
842,1.311,0.0395
843,1.898,0.0589
844,1.926,0.0725
845,0.149,0.0017
846,6.004,0.09
847,2.251,0.0551
848,2.199,0.0962
849,1.213,0.0916
850,1.103,0.0489
851,1.088,0.1494
853,0.179,0.0027
854,1.979,0.0813
855,2.231,0.1811
856,2.061,0.1276
857,1.838,0.0355
858,2.43,0.1237
859,0.668,0.111
860,4.497,0.31
861,1.829,0.1492
862,2.426,0.1196
863,1.102,0.0642
864,1.334,0.0676
865,1.593,0.1743
866,2.012,0.0979
867,0.407,0.0111
868,1.293,0.0582
869,1.047,0.0638
870,1.558,0.0787
871,0.528,0.0377
872,0.216,0.0226
873,1.1,0.0689
874,0.337,0.008
875,2.36,0.1162
876,0.998,0.0489
877,3.0,0.1339
878,0.749,0.0271
879,1.443,0.1588
880,0.137,0.0014
881,1.825,0.1792
883,1.889,0.0509
884,2.024,0.1089
885,2.275,0.1099
887,0.214,0.0038
888,2.144,0.0925
889,0.84,0.0382
891,1.893,0.0973
892,2.468,0.1251
893,1.045,0.0886
894,1.729,0.1029
895,1.263,0.0606
896,0.871,0.0331
897,1.69,0.0428
898,2.4,0.1272
900,1.351,0.1498
901,1.82,0.1683
902,2.231,0.1546
903,2.535,0.1303
904,2.619,0.1017
905,0.726,0.0932
906,2.279,0.094
907,1.666,0.072
908,1.881,0.1067
909,1.156,0.2062
910,0.789,0.0576
911,0.845,0.218
912,0.454,0.0025
913,0.986,0.0265
914,2.337,0.1244
915,2.104,0.1251
916,0.485,0.0148
917,2.542,0.0727
918,1.626,0.1346
919,0.295,0.0045
920,1.001,0.0269
921,0.307,0.0044
923,6.162,0.2298
924,1.887,0.1723
925,2.496,0.118
926,1.768,0.1435
927,0.319,0.0077
928,1.923,0.0367
929,2.033,0.1492
930,1.988,0.0558
931,0.615,0.0501
932,1.148,0.0654
933,2.04,0.0583
934,1.928,0.1393
935,1.817,0.036
936,2.236,0.1088
937,0.901,0.1322
939,1.615,0.0801
940,2.468,0.1947
941,2.024,0.0626
942,1.544,0.0655
943,3.108,0.1077
944,1.14,0.183
945,1.183,0.0939
947,2.127,0.0602
948,1.413,0.1296
949,1.913,0.0339
950,0.148,0.0019
951,2.124,0.1645
952,1.371,0.1676
953,0.296,0.0069
954,2.489,0.1443
955,1.588,0.0734
956,1.107,0.0647
957,2.144,0.0925
958,2.264,0.0572
959,1.921,0.0965
960,1.599,0.1678
961,1.496,0.0743
962,2.255,0.1081
963,1.189,0.0917
964,1.209,0.0699
965,1.0,0.1927
966,1.766,0.0992
967,1.636,0.0701
968,0.366,0.0095
969,0.69,0.0249
970,0.324,0.0073
971,1.261,0.1308
972,0.624,0.0612
973,1.205,0.0951
975,2.086,0.1173
976,2.51,0.1079
977,0.453,0.0663
978,1.762,0.1029
979,1.094,0.1961
980,0.644,0.0317
981,2.175,0.1199
982,1.03,0.1161
983,2.607,0.1206
984,1.935,0.057
985,0.54,0.0157
986,2.259,0.1098
987,0.366,0.0095
988,0.645,0.1172
989,1.332,0.1068
990,2.321,0.1184
991,1.816,0.0997
992,1.617,0.0978
993,0.377,0.0081
994,1.202,0.0951
995,0.877,0.0221
996,1.787,0.0419
997,1.597,0.1123
998,2.705,0.107
999,2.397,0.14
1000,0.364,0.0136
1002,3.054,0.1355
1003,0.932,0.0225
1004,1.181,0.07
1005,2.019,0.0806
1006,2.934,0.1039
1007,1.964,0.0701
1008,0.27,0.0102
1009,1.904,0.032
1010,1.705,0.0831
1011,0.965,0.0436
1012,2.897,0.1362
1013,2.701,0.0994
1014,0.92,0.0198
1015,2.254,0.1099
1016,1.113,0.1485
1017,2.403,0.1304
1018,1.124,0.1275
1019,0.332,0.0054
1021,0.052,0.0002
1022,1.894,0.036
1023,0.917,0.0597
1024,2.205,0.0994
1025,1.938,0.1075
1026,2.052,0.0494
1027,1.447,0.111
1028,1.735,0.0388
1029,2.769,0.1223
1030,1.682,0.1563
1031,1.013,0.0226
1032,0.214,0.0038
1033,1.377,0.1188
1034,1.689,0.0152
1035,2.28,0.1707
1036,0.324,0.0692
1037,0.951,0.0767
1038,0.236,0.0044
1039,2.19,0.0622
1040,2.376,0.1228
1041,2.497,0.1045
1042,1.158,0.1557
1043,0.3,0.0578
1044,3.23,0.1322
1046,1.045,0.0498
1048,0.662,0.0247
1049,1.569,0.1533
1050,2.835,0.126
1051,1.404,0.0938
1052,2.383,0.1285
1053,1.102,0.0642
1054,2.665,0.1081
1055,1.629,0.0686
1056,1.934,0.1775
1057,1.615,0.1633
1058,0.189,0.015
1059,0.928,0.0835
1060,1.826,0.0679
1061,1.738,0.0555
1062,0.795,0.0191
1063,1.149,0.0578
1064,1.622,0.0626
1065,0.149,0.0014
1066,0.219,0.0029
1067,1.752,0.0985
1068,2.336,0.1739
1069,3.094,0.1294
1070,0.933,0.052
1071,2.543,0.0942
1072,2.269,0.0307
1073,1.33,0.0644
1074,1.312,0.1239
1075,0.582,0.0237
1076,1.884,0.0349
1077,2.182,0.068
1078,6.479,0.12
1079,1.92,0.132
1080,3.208,0.0928
1081,1.472,0.0543
1082,1.664,0.0409
1083,1.806,0.1024
1084,1.546,0.0666
1085,0.896,0.0585
1086,2.241,0.1171
1087,0.368,0.0092
1088,1.716,0.0897
1089,1.8,0.1703
1090,2.263,0.1074
1091,1.677,0.0357
1093,2.487,0.0992
1094,2.264,0.0737
1095,2.026,0.1671
1096,1.133,0.0769
1097,0.316,0.0141
1098,0.318,0.005
1099,2.54,0.1192
1100,2.227,0.0996
1101,1.48,0.1329
1102,0.289,0.0107
1103,1.346,0.0759
1104,1.874,0.065
1105,1.532,0.054
1106,1.217,0.0574
1107,1.833,0.0492
1108,1.873,0.0446
1109,1.91,0.2212
1110,1.065,0.0828
1111,2.359,0.0863
1112,2.573,0.116
1113,2.29,0.1205
1114,2.899,0.077
1115,2.492,0.1183
1116,0.62,0.0227
1117,1.192,0.0611
1118,0.433,0.0312
1119,0.329,0.0146
1120,2.227,0.1664
1121,0.344,0.0088
1122,0.325,0.0078
1123,0.73,0.0167
1124,1.741,0.1245
1125,2.256,0.0541
1126,0.336,0.0065
1127,2.248,0.0444
1128,0.572,0.0113
1129,3.157,0.1374
1130,2.161,0.0927
1131,1.865,0.0314
1132,0.583,0.0114
1133,0.337,0.0186
1134,0.845,0.218
1135,3.06,0.1369
1136,1.902,0.0453
1137,2.006,0.1287
1138,2.005,0.1132
1140,1.418,0.1241
1141,1.925,0.1039
1142,1.331,0.0728
1143,1.178,0.1136
1144,4.212,0.1049
1145,1.935,0.057
1146,1.871,0.0668
1147,1.765,0.0864
1148,1.196,0.0564
1149,1.663,0.0434
1150,2.183,0.1261
1151,2.199,0.0807
1152,1.479,0.0764
1153,0.301,0.0054
1154,2.22,0.1055
1155,1.57,0.0908
1156,2.078,0.123
1157,1.519,0.0768
1158,1.689,0.0741
1159,1.228,0.0953
1160,0.614,0.0931
1161,1.054,0.0513
1162,2.055,0.1581
1163,2.129,0.2276
1164,1.961,0.0719
1165,2.842,0.084
1166,1.44,0.0671
1167,0.266,0.0482
1168,2.076,0.0861
1169,1.599,0.1216
1170,2.4,0.1272
1171,0.932,0.0297
1172,1.185,0.0617
1173,0.611,0.0419
1174,0.26,0.004
1175,2.702,0.0838
1176,1.119,0.1553
1177,3.011,0.1007
1178,0.11,0.0011
1179,1.755,0.1085
1180,2.054,0.1641
1181,0.381,0.0059
1182,0.26,0.004
1183,1.217,0.1453
1184,0.334,0.008
1185,0.925,0.0244
1186,2.989,0.1197
1187,0.998,0.0489
1188,1.735,0.0648
1189,2.408,0.181
1190,2.034,0.0971
1191,1.157,0.1617
1192,1.031,0.0558
1193,1.693,0.1684
1194,1.968,0.0678
1195,1.754,0.0725
1196,2.869,0.1185
1197,2.422,0.1286
1198,1.049,0.1275
1199,1.984,0.065
1200,0.741,0.0293
1202,2.05,0.1071
1203,1.282,0.0706
1204,2.174,0.1071
1205,1.248,0.167
1207,1.162,0.103
1208,1.692,0.163
1209,2.064,0.2139
1210,1.88,0.0443
1211,0.317,0.0063
1212,1.722,0.0972
1213,2.796,0.103
1214,1.174,0.0275
1215,2.012,0.2209
1216,1.393,0.0527
1218,1.302,0.0653
1219,2.48,0.0701
1220,2.374,0.1179
1221,1.741,0.1426
1222,0.215,0.0038
1223,1.716,0.0897
1224,1.818,0.0639
1226,2.715,0.0971
1227,1.682,0.1563
1228,1.501,0.1445
1229,0.831,0.123
1230,0.945,0.0254
1231,1.411,0.0664
1232,2.252,0.1075
1233,1.646,0.1616
1234,0.758,0.0328
1235,1.909,0.0531
1236,0.139,0.0016
1237,2.101,0.0353
1238,3.813,0.0898
1239,1.011,0.0577
1240,1.874,0.0654
1241,1.221,0.1577
1242,0.309,0.0126
1243,1.098,0.0499
1244,1.418,0.1241
1245,1.887,0.033
1246,2.299,0.0957
1247,0.537,0.016
1248,2.189,0.1216
1249,0.6,0.0188
1250,2.253,0.1141
1251,2.43,0.0624
1252,2.319,0.0638
1253,0.123,0.0013
1254,1.968,0.0678
1255,1.726,0.0801
1256,1.453,0.0503
1257,2.385,0.1197
1258,2.338,0.115
1259,1.473,0.0773
1260,6.162,0.2298
1261,2.053,0.0711
1262,0.508,0.0742
1263,1.927,0.0868
1264,2.041,0.066
1265,7.775,0.1047
1266,1.244,0.0727
1267,2.716,0.112
1268,2.393,0.1215
1269,1.717,0.0479
1271,1.799,0.1549
1272,2.027,0.0488
1273,0.443,0.0152
1274,2.254,0.1099
1275,1.34,0.0682
1276,2.457,0.1
1277,1.674,0.0426
1278,0.994,0.0813
1279,0.174,0.0027
1280,0.129,0.0015
1281,2.047,0.0497
1282,0.732,0.1842
1283,2.771,0.1313
1284,1.93,0.0994
1285,1.54,0.0745
1286,2.433,0.1552
1287,1.312,0.069
1288,2.964,0.1349
1289,0.295,0.0047
1290,0.945,0.0246
1291,1.468,0.1208
1292,1.469,0.0698
1293,2.36,0.1675
1294,1.999,0.1402
1295,1.815,0.045
1296,1.842,0.0646
1297,1.846,0.0964
1298,0.123,0.0013
1299,1.557,0.0666
1300,2.261,0.1074
1301,0.994,0.0813
1302,0.657,0.1934
1303,1.247,0.1576
1304,2.269,0.1044
1305,0.63,0.014
1306,0.619,0.0194
1307,1.891,0.0486
1308,1.511,0.0641
1309,2.423,0.1381
1310,0.332,0.0055
1311,2.21,0.1186
1312,0.334,0.0059
1313,3.028,0.0981
1314,1.716,0.1464
1316,3.09,0.0982
1317,1.913,0.1138
1318,0.458,0.0123
1319,1.856,0.1293
1320,1.726,0.1154
1321,1.886,0.0794
1322,2.223,0.1088
1324,1.739,0.0775
1325,2.251,0.1616
1326,1.778,0.1154
1327,1.104,0.0532
1328,0.891,0.0396
1329,2.744,0.0971
